name,brand,slug,price,gender,category,concentration,scent_notes,intensity,occasion,description,stock_quantity,is_available,image
Bloom Parfum,Gucci,gucci-bloom-parfum-k,200,K,floral,parfum,"Top: koralowy jaśmin; Heart: płatki tuberozy, absolut jaśminu sambac; Base: absolut balsamu peruwiańskiego, wanilia",strong,special,"Bloom Parfum to najbardziej intensywna i zmysłowa odsłona kolekcji Bloom, przekształcająca kultowy akord białych kwiatów w złocisty, słoneczny bukiet. Otwiera się ciepłym, świetlistym jaśminem koralowym, który otula skórę niczym aksamitna, złota tkanina. W sercu bogata tuberoza i jaśmin sambac przeplatają się z kremową wanilią i żywicznym balsamem peruwiańskim, tworząc uzależniającą, ambrową kompozycję. Idealny na wieczorne wyjścia, pozostawia długotrwały, zmysłowy ślad.",10,True,products/IMG-20260409-WA0343.jpg
Naxos,Xerjoff,xerjoff-naxos-u,250,U,woody,edp,"Top: bergamotka, cytryna, lawenda; Heart: jaśmin sambac, cynamon, miód, cashmeran; Base: liść tytoniu, fasolka tonka, wanilia",strong,special,"Naxos to hołd dla włoskiej wielkości i glamour, przenoszący w samo serce Sycylii. Ta unisexowa, drzewno-aromatyczna kompozycja otwiera się świeżością bergamotki, cytryny i lawendy. W sercu zmysłowe połączenie miodu, cynamonu i jaśminu przełamane jest nutą cashmeranu. Głęboka, ziemista baza z tytoniu, fasolki tonka i wanilii tworzy ciepły, słodkawy i niezwykle elegancki finisz. Idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0344.jpg
La Vie Est Belle Sparkling Edition,Lancôme,lancome-la-vie-est-belle-sparkling-edition-k-1,200,K,floral,edp,"Top: akord gourmand, irys; Heart: kwiat pomarańczy, jaśmin sambac; Base: paczula, wanilia",strong,special,"La Vie Est Belle Sparkling Edition to limitowana, rozświetlona wersja ikonicznego zapachu szczęścia. Ta kwiatowo-orientalna kompozycja otwiera się słodkim, jadalnym akordem gourmand i kremowym, maślanym irysem. W sercu rozkwita bukiet kwiatu pomarańczy i jaśminu sambac, który nadaje jej świetlistej elegancji. Baza z paczuli i wanilii zapewnia głębię, słodycz i długotrwały, otulający finisz. Idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0345.jpg
Dylan Purple,Versace,versace-dylan-purple-k-1,200,K,floral,edp,"Top: gorzka pomarańcza, akord soku gruszkowego, bergamotka; Heart: fiołek purpurowy, Pomarose®, Mohanial®; Base: Iso E Super, cedr wirginijski, Ambrofix™, Belambre®, Sylkolide®",strong,daily,"Dylan Purple to żywiołowa, kwiatowo-owocowa kompozycja dla kobiet, która jest celebracją radości i elegancji. Otwiera się musującą mieszanką gorzkiej pomarańczy, soczystej gruszki i bergamotki. W sercu wyczuwalne są delikatne, purpurowe fiołki i nowoczesne molekuły, takie jak Pomarose®. Baza z Iso E Super, cedru i ambroxanu nadaje jej drzewnego, zmysłowego i długotrwałego charakteru. Idealny na co dzień, dla pewnych siebie, promiennych kobiet.",10,True,products/IMG-20260409-WA0346.jpg
Paradoxe Intense,Prada,prada-paradoxe-intense-k-1,200,K,floral,edp,"Top: esencja bergamotki, pąki neroli, akord gruszki; Heart: esencja neroli, superinfuzja jaśminu, akord mchu; Base: akord bursztynowy, infuzja wanilii, akord białego piżma",strong,special,"Paradoxe Intense to kwiatowo-bursztynowa kompozycja, która uwodzi swoją intensywnością i kontrastami. Otwiera się świeżością bergamotki, neroli i soczystej gruszki. W sercu delikatny jaśmin i mchu nadają jej eleganckiego, ziemistego charakteru. Baza z ambry, wanilii i białego piżma tworzy ciepły, otulający i bardzo trwały finisz. Zapach wzmacnia klasyczne akordy, osiągając saturację doznań olfaktorycznych. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0347.jpg
Guilty,Gucci,gucci-guilty-k-1,200,K,oriental,edp,"Top: różowy pieprz, mandarynka, bergamotka; Heart: bez, brzoskwinia, geranium, jaśmin, czarna porzeczka; Base: paczula, bursztyn, białe piżmo, wanilia",strong,special,"Gucci Guilty to orientalno-kwiatowy zapach dla kobiet, będący symbolem wolności i buntu. Otwiera się pikantnym, owocowym akordem różowego pieprzu, mandarynki i bergamotki. W sercu wyczuwalny jest zmysłowy, słodki bez przełamany nutami brzoskwini i jaśminu. Baza z paczuli, bursztynu i wanilii nadaje kompozycji głębi, ciepła i długotrwałego, uwodzicielskiego charakteru. Idealny na wieczorne wyjścia, dla pewnych siebie, odważnych kobiet.",10,True,products/IMG-20260409-WA0348.jpg
Good Girl,Carolina Herrera,carolina-herrera-good-girl-k-3,200,K,floral,edp,"Top: migdał, kawa; Heart: jaśmin sambac, tuberoza; Base: fasolka tonka, kakao, wanilia",strong,special,"Good Girl to kultowa, kwiatowo-orientalna kompozycja, która celebruje dualizm natury kobiety – łączy w sobie niewinność i zmysłowość. Otwiera się słodkim migdałem i energetyzującą kawą, przechodząc w bujne serce z jaśminu sambac i tuberozy. Głęboka, słodko-gorzka baza z fasolki tonka, kakao i wanilii tworzy niezwykle zmysłowy, długotrwały ślad. Kultowy flakon w kształcie szpilki to symbol elegancji i buntu. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0349.jpg
L'Immensite,Louis Vuitton,louis-vuitton-limmensite-m-1,200,M,fresh,edp,"Top: bergamotka, cytryna, biały pieprz; Heart: nuty morskie, figa, galbanum; Base: cedr atlantycki, piżmo, ambra szara",strong,daily,"L'Immensite to oceaniczna, drzewna kompozycja z kolekcji Les Parfums Louis Vuitton, inspirowana bezkresem morza i nieba. Otwiera się orzeźwiającą bergamotką, cytryną i pikantnym białym pieprzem. Serce z morskich nut i zielonej figi tworzy świeży, przestrzenny akord. Baza z atlantyckiego cedru i ambry szarej nadaje zapachowi maskulinnej głębi i trwałości. Wersja w białym opakowaniu z żółtym flakonem.",10,True,products/IMG-20260409-WA0350.jpg
Flora Gorgeous Orchid,Gucci,gucci-flora-gorgeous-orchid-k-2,200,K,floral,edp,Top: wanilia; Heart: wanilia orchidea; Base: akord ozoniczny,strong,special,"Gucci Flora Gorgeous Orchid to pierwsza ozoniczna, kwiatowo-gourmandowa kompozycja marki. Otwiera się bogatym, kremowym duetem wanilii, który przechodzi w serce z egzotycznej waniliowej orchidei. Baza z morskiego akordu ozonicznego nadaje świeżości i lekkości. To słodki, ale orzeźwiający zapach dla kobiet, idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0351.jpg
Angels' Share,Kilian,kilian-angels-share-u-1,200,U,oriental,edp,"Top: koniak; Heart: cynamon, absolut dębowy; Base: fasolka tonka, praliné, wanilia, drzewo sandałowe",strong,special,"Angels' Share to hołd dla dziedzictwa rodziny Hennessy, zapach inspirowany koniakiem. Ta orientalno-gourmandowa kompozycja otwiera się bogatym, alkoholowym akordem koniaku. W sercu rozgrzewający cynamon i absolut dębowy przeplatają się z fasolką tonka. Baza z praliné, wanilii i drzewa sandałowego tworzy słodki, uzależniający i niezwykle trwały finisz. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0352.jpg
Donna Born in Roma Intense,Valentino,valentino-donna-born-in-roma-intense-k,200,K,floral,edp,"Top: mandarynka, bergamotka, czarna porzeczka; Heart: jaśmin, grandiflorum, jaśminowa herbata; Base: wanilia, benzoina",light,special,"Donna Born in Roma Intense to magnetyczny, kwiatowo-bursztynowy zapach dla kobiet, który celebruje magię rzymskich wieczorów. Otwiera się musującą mieszanką mandarynki, bergamotki i czarnej porzeczki. W sercu wyczuwalne jest zmysłowe trio jaśminów, które nadają kompozycji głębi. Baza z wanilii i benzoiny tworzy ciepły, otulający i długotrwały finisz. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0353.jpg
Flowerbomb,Viktor & Rolf,viktor-rolf-flowerbomb-k-1,200,K,floral,edp,"Top: bergamotka, zielona herbata; Heart: jaśmin sambac, róża centifolia, frezja, orchidea; Base: piżmo, paczula",light,special,"Flowerbomb to kwiatowa eksplozja, która ma moc, by wszystko wydawać się bardziej pozytywne. Otwiera się świeżością bergamotki i zielonej herbaty. W sercu rozkwita bujny bukiet jaśminu sambac, róży centifolia, frezji i orchidei. Baza z piżma i paczuli nadaje zapachowi głębi i elegancji. To uzależniająca, słodka kompozycja idealna na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0354.jpg
Café Rose,Tom Ford,tom-ford-cafe-rose-k,200,K,floral,edp,"Top: róża turecka, kawa; Heart: róża bułgarska, paczula, kardamon; Base: kadzidło, drzewo sandałowe",strong,special,"Café Rose to zmysłowa, kwiatowo-kawowa kompozycja, która łączy w sobie elegancję róży z mrocznym akcentem kawy. Otwiera się aksamitną różą turecką i paloną kawą. W sercu wyczuwalna jest róża bułgarska, ziemista paczula i pikantny kardamon. Baza z kadzidła i drzewa sandałowego tworzy dymny, długotrwały finisz. Idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0355.jpg
Bottled Night,Hugo Boss,hugo-boss-bottled-night-m,200,M,woody,edt,"Top: liść brzozy, lawenda; Heart: kardamon, afrykański fiołek, jaśmin; Base: drzewo louro amarelo, drzewo sandałowe, piżmo",light,daily,"Bottled Night to intensywny, korzenno-drzewny zapach dla mężczyzn, inspirowany uwodzicielską atmosferą letniej nocy. Otwiera się świeżością liści brzozy i lawendy. W sercu pikantny kardamon i egzotyczny afrykański fiołek przeplatają się z jaśminem. Baza z rzadkiego drewna louro amarelo, sandałowca i piżma nadaje zapachowi zmysłowej głębi. Idealny na co dzień, dla pewnych siebie mężczyzn.",10,True,products/IMG-20260409-WA0356.jpg
Bad Boy Elixir,Carolina Herrera,carolina-herrera-bad-boy-elixir-m-3,200,M,woody,edp,"Top: szałwia, bergamotka, mandarynka; Heart: skóra; Base: cedr, kadzidło, kakao",strong,special,"Bad Boy Elixir to intensywna, skórzano-aromatyczna interpretacja kultowego zapachu. Otwiera się aromatyczną szałwią i cytrusami. W sercu dominuje wyrafinowana, ciepła skóra, która nadaje kompozycji luksusowego charakteru. Baza z drzewa cedrowego, mistycznego kadzidła i kakao zapewnia długotrwały, zmysłowy ślad. Stworzony dla mężczyzn z charakterem, idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0357.jpg
Si Passione Red Musk,Giorgio Armani,giorgio-armani-si-passione-red-musk-k,200,K,floral,edp,"Top: truskawka, piżmo; Heart: absolut róży, akord mleczny; Base: wanilia, piżmo",strong,special,"Si Passione Red Musk to kwiatowo-owocowa, bursztynowa kompozycja, która jest ognistą reinterpretacją ikonicznego Si. Otwiera się jasnym, soczystym akordem truskawki, który rozpala serce musk. W sercu absolut róży i mleczne akordy pogłębiają emocjonalny rezonans zapachu. Baza z wanilii i piżma tworzy zmysłowy, długotrwały finisz. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0358.jpg
Coco Mademoiselle L'Eau Privée,Chanel,chanel-coco-mademoiselle-leau-privee-k-1,200,K,floral,edp,"Top: mandarynka; Heart: róża, jaśmin; Base: białe piżmo",light,special,"Coco Mademoiselle L'Eau Privée to najnowsza, zmysłowa interpretacja kultowego zapachu, stworzona specjalnie na noc. Ta miękka i seksowna woda perfumowana otwiera się świeżą mandarynką. W sercu romantyczny duet róży i jaśminu otula zmysły. Baza z białego piżma nadaje zapachowi czystości i intymności, czyniąc go idealnym rytuałem przed snem lub na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0359.jpg
The Most Wanted Parfum,Azzaro,azzaro-the-most-wanted-parfum-m,200,M,woody,parfum,Top: kardamon; Heart: akord toffee; Base: drzewo bursztynowe,strong,special,"The Most Wanted Parfum to intensywny, korzenno-ambrowy zapach dla mężczyzn, który jest jak eksplozja energii. Otwiera się pikantnym, zielonym kardamonem z Gwatemali. W sercu wyczuwalny jest ciepły, słodki akord toffee z nutą palonego cukru. Baza z miękkiego, bursztynowego drewna dodaje mu intensywnej złożoności i niezwykłej trwałości. Idealny na wieczorne wyjścia, dla odważnych mężczyzn.",10,True,products/IMG-20260409-WA0360.jpg
Ambassador For Men,Gisada,gisada-ambassador-for-men-m,200,M,woody,edp,"Top: zielona mandarynka, jabłko, kardamon, fiołek; Heart: mango, lawenda, pieprz czarny, paczula, piwonia; Base: wanilia, bursztyn, drewno teakowe, wetyweria, mech",strong,special,"Ambassador For Men to świeży, bardzo żywy zapach, który podkreśla elegancką stronę każdego mężczyzny. Otwiera się energetyzującą mieszanką zielonej mandarynki, jabłka i kardamonu. W sercu egzotyczne mango łączy się z lawendą i pieprzem, tworząc wyjątkową kompozycję. Baza z wanilii, bursztynu i wetywerii nadaje mu głębi i elegancji. To uniwersalny zapach na co dzień i na specjalne okazje, dla pewnych siebie mężczyzn ceniących luksus.[reference:0][reference:1][reference:2]",10,True,products/IMG-20260409-WA0361.jpg
Titanium,Gisada,gisada-titanium-m-1,200,M,woody,edp,"Top: szałwia, kardamon, różowy pieprz, bylica; Heart: lawenda, cedr, cynamon, drzewo sandałowe, skóra; Base: fasolka tonka, paczula, wanilia, irys, jodła",strong,special,"Titanium to wyrazisty, nowoczesny zapach dla mężczyzn, który łączy w sobie świeżość, korzenność i ciepło. Otwiera się orzeźwiającą mieszanką szałwii, kardamonu i różowego pieprzu. W sercu aromatyczna lawenda, drzewne nuty cedru i skóra tworzą aksamitny bukiet. Baza z fasolki tonka, wanilii, paczuli i jodły otula skórę zmysłową, słodką aurą. Zapach dla mężczyzn, którzy wyznaczają własną ścieżkę.[reference:3][reference:4][reference:5]",10,True,products/IMG-20260409-WA0362.jpg
Groove Xcape,Xerjoff,xerjoff-groove-xcape-u,250,U,woody,parfum,"Top: pieprz, elemi, kardamon, imbir; Heart: kadzidło, mirra, mimoza, róża; Base: cedr, labdanum, benzoes, paczula",strong,special,"Groove Xcape to unisexowa kompozycja z kolekcji Blends, stworzona we współpracy z włoskim muzykiem Maxem Casaccim. Otwiera się intensywnie, korzennie, akordem pieprzu, elemi, kardamonu i imbiru. W sercu pojawia się dymna mieszanka kadzidła i mirry, przełamana kwiatowymi nutami róży i mimozy. Głęboka, żywiczna baza z cedru, labdanum, benzoesu i paczuli nadaje jej ciepły, zmysłowy finisz. Elegancki, pełen pasji zapach, idealny na wieczorne wyjścia.[reference:6][reference:7][reference:8]",10,True,products/IMG-20260409-WA0363.jpg
Les Sables Roses,Louis Vuitton,louis-vuitton-les-sables-roses-u-1,200,U,floral,edp,"Top: różowy pieprz, malina, szafran; Heart: róża bułgarska, róża turecka, róża centifolia; Base: oud, paczula, ambra",strong,special,"Les Sables Roses to zmysłowa, orientalna kompozycja inspirowana magią pustyni o wschodzie słońca. Twórca zapachu, Jacques Cavallier Belletrud, zestawił w niej dwa oblicza róży – świeżość i drzewną głębię oudu. Otwiera się zmysłowym połączeniem różowego pieprzu, szafranu i maliny. W sercu rozkwita bujny bukiet róż, a baza z oudu, paczuli i ambry nadaje kompozycji długotrwały, aksamitny i niezwykle elegancki charakter. Zapach unisex, idealny na wieczorne wyjścia.[reference:9][reference:10][reference:11]",10,True,products/IMG-20260409-WA0364.jpg
Bottled Intense,Hugo Boss,hugo-boss-bottled-intense-m,200,M,woody,edp,"Top: jabłko, kwiat pomarańczy; Heart: cynamon, goździki, geranium; Base: wanilia, drzewo sandałowe, cedr, wetyweria",strong,special,"Bottled Intense to głębsza, bardziej wyrazista wersja kultowego zapachu Hugo Boss. Otwiera się soczystym, chrupiącym jabłkiem i delikatnym kwiatem pomarańczy. W sercu rozgrzewające, korzenne akcenty cynamonu i goździków przeplatają się z geranium. Ciepła, słodka baza z wanilii, drzewa sandałowego i cedru tworzy elegancki, męski i długotrwały finisz. Idealny na wieczorne wyjścia i specjalne okazje.[reference:12][reference:13]",10,True,products/IMG-20260409-WA0365.jpg
Bombshell,Victoria's Secret,victorias-secret-bombshell-k,200,K,fresh,edp,"Top: męczennica jadalna (passionfruit), grejpfrut, ananas, mandarynka, truskawka; Heart: piwonia Shangri-La, wanilia madagaskarska, jaśmin, konwalia; Base: piżmo, nuty drzewne, mech dębowy",strong,special,"Bombshell to kwintesencja pewnej siebie i odważnej kobiety. To iskrzący, owocowo-kwiatowy zapach, który otwiera się egzotyczną mieszanką brazylijskiej męczennicy jadalnej i cytrusów. W sercu rozkwita czysta, delikatna piwonia Shangri-La z Tybetu, a wanilia z Madagaskaru dodaje mu kremowej słodyczy. Baza z piżma i mchu dębowego nadaje mu głębi i nowoczesnego charakteru. Idealny na wieczorne wyjścia i co dzień.[reference:14][reference:15]",10,True,products/IMG-20260409-WA0366.jpg
Code Parfum,Giorgio Armani,giorgio-armani-code-parfum-m-1,200,M,oriental,parfum,"Top: bergamotka; Heart: irys, szałwia muszkatołowa; Base: cedr, fasolka tonka",strong,special,"Code Parfum to nowa, zmysłowa interpretacja kultowej linii Armani, stworzona z myślą o współczesnym mężczyźnie. Otwiera się jasną i żywą bergamotką z Kalabrii. W sercu szlachetny i elegancki irys łączy się z aromatyczną szałwią muszkatołową. Baza z fasolki tonka i cedru zapewnia potężny i zmysłowy ślad. To zapach dla mężczyzn, którzy są wolni od stereotypów i cenią autentyczność.[reference:16][reference:17][reference:18]",10,True,products/IMG-20260409-WA0367.jpg
Bleu de Chanel L'Exclusif,Chanel,chanel-bleu-de-chanel-lexclusif-m-1,200,M,woody,parfum,"Top: drzewo sandałowe; Heart: labdanum; Base: bursztyn, skóra",strong,special,"Bleu de Chanel L'Exclusif to najbardziej intensywna i tajemnicza interpretacja ikonicznej linii, zaprojektowana w stylu extrait de parfum. Kompozycja skupia się wokół bogatych, aksamitnych nut drewna sandałowego z Nowej Kaledonii. W sercu żywiczne labdanum i skóra nadają jej zmysłowego, skórzanego charakteru. Głęboka, bursztynowa baza tworzy hipnotyzujący, długotrwały ślad, który pozostaje na skórze niczym magnes. To odważny zapach dla mężczyzn, którzy chcą się wyróżniać.[reference:19][reference:20][reference:21]",10,True,products/IMG-20260409-WA0368.jpg
Utopia Vanilla Coco,KAYALI,kayali-utopia-vanilla-coco-u,200,U,floral,edp,"Top: kokos, grusza, wiciokrzew, cytryna; Heart: tuberoza, jaśmin, ambrette; Base: wanilia, drzewo sandałowe, piżmo, paczula",light,daily,"Utopia Vanilla Coco to unisexowa, słoneczna kompozycja, która przenosi w zmysłowy raj na ziemi. Otwiera się mlecznym kokosem, słodką gruszą i delikatnym wiciokrzewem. W sercu kremowa tuberoza i jaśmin przeplatają się z nutą ambrette, nadając zapachowi kwiatowej elegancji. Baza z wanilii bourbon, drzewa sandałowego i piżma tworzy ciepły, otulający finisz. To idealny, komfortowy zapach na co dzień, który wywołuje poczucie wolności.[reference:22][reference:23][reference:24]",10,True,products/IMG-20260409-WA0369.jpg
Gentleman Boisée,Givenchy,givenchy-gentleman-boisee-m-1,200,M,woody,edp,"Top: pieprz czarny, geranium, kolendra; Heart: irys, kakao, cedr; Base: nuty drzewne, drzewo sandałowe, paczula",strong,special,"Gentleman Boisée to odważna, drzewno-korzenno-żywiczna kompozycja dla mężczyzn. Otwiera się pikantnym kontrastem czarnego pieprzu i kolendry z kwiatowym geranium. W sercu pudrowy irys łączy się z ciepłym, uzależniającym kakao i drzewnym cedrem. Baza z paczuli, sandałowca i mieszanki nut drzewnych nadaje zapachowi głębi, męskiego charakteru i niezwykłej trwałości. Idealny na wieczorne wyjścia.[reference:25][reference:26][reference:27]",10,True,products/IMG-20260409-WA0370.jpg
Light Blue Eau de Toilette,Dolce & Gabbana,dolce-gabbana-light-blue-eau-de-toilette-k,200,K,fresh,edt,"Top: cytryna sycylijska, jabłko Granny Smith, dzwonek; Heart: bambus, jaśmin, biała róża; Base: cedr, bursztyn, piżmo",light,daily,"Light Blue to kultowa, świeża woda toaletowa, która oddaje lekkość dnia na włoskim wybrzeżu. Otwiera się soczystymi nutami cytryny sycylijskiej i chrupiącego jabłka Granny Smith. W sercu delikatny bukiet bambusa, jaśminu i białej róży dodaje mu kwiatowej głębi. Baza z cedru, bursztynu i piżma pozostawia zmysłowy, długotrwały ślad. Idealny na co dzień, zwłaszcza w ciepłe, słoneczne dni.",10,True,products/IMG-20260409-WA0371.jpg
La Bomba,Carolina Herrera,carolina-herrera-la-bomba-k-1,200,K,oriental,edp,"Top: pitahaya (dragon fruit); Heart: frangipani, czerwona piwonia; Base: wanilia, paczula",strong,special,"La Bomba to eksplozywnie kobieca kompozycja z 2025 roku, zaproszenie do życia pełnego pasji. Otwiera się egzotyczną słodyczą pitahayi. W sercu tropikalny frangipani i czerwona piwonia tworzą bujny, kwiatowy bukiet. Głęboka baza wanilii i paczuli nadaje zapachowi zmysłowej głębi i trwałości. Idealny na wieczorne wyjścia, dla kobiet, które chcą żyć głośno i wolno.",10,True,products/IMG-20260409-WA0372.jpg
Vanilla Candy Rock Sugar,KAYALI,kayali-vanilla-candy-rock-sugar-k,200,K,oriental,edp,"Top: kandyzowana gruszka, liść fiołka, rum, ylang-ylang, ptasie mleczko, wanilia; Heart: guma balonowa, żelki, karmel, jaśmin, labdanum; Base: cukier, paczula, fasolka tonka, drzewo kaszmirowe, drzewo sandałowe, wetyweria",strong,special,"Vanilla Candy Rock Sugar to słodka, fantazyjna i uwodzicielska kompozycja, która jest hołdem dla dziecięcej radości. Otwiera się eksplozją kandyzowanej gruszki, wanilii i gumy balonowej. W sercu wyczuwalne są nuty karmelu, jaśminu, a nawet żelków. Baza z drzewa kaszmirowego, sandałowca i fasolki tonka zapewnia ciepłe i słodkie zakończenie. To radosny, kokieteryjny zapach, idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0373.jpg
Euphoria,Calvin Klein,calvin-klein-euphoria-k-1,200,K,oriental,edp,"Top: granat, malina, marakuja, persymona, brzoskwinia, zielone akordy; Heart: orchidea, lotos, champaka; Base: mahoń, bursztyn, piżmo, fiołek, paczula, wanilia",strong,special,"Euphoria to zmysłowa, orientalno-kwiatowa kompozycja, która uwodzi swoją tajemniczością i głębią. Otwiera się soczystym koktajlem egzotycznych owoców, przechodząc w kwiatowe serce z orchidei, lotosu i champaki. Głęboka, drzewno-bursztynowa baza z mahoniu, piżma i wanilii tworzy długotrwały, kuszący finisz. Idealny na wieczorne wyjścia, dla pewnych siebie kobiet.",10,True,products/IMG-20260409-WA0374.jpg
La Nuit Trésor,Lancôme,lancome-la-nuit-tresor-k-3,200,K,oriental,edp,"Top: gruszka, mandarynka, bergamotka; Heart: truskawka, róża czarna, orchidea waniliowa, marakuja; Base: praliné, karmel, liczi, wanilia",strong,special,"La Nuit Trésor to zmysłowa, słodka kompozycja, która jest niczym płomienna nocna przygoda. Otwiera się soczystą gruszką i mandarynką. W sercu czarna róża i orchidea waniliowa przeplatają się z truskawką i marakują, tworząc odurzający bukiet. Baza z praliné, karmelu i wanilii pozostawia długotrwały, słodki i zmysłowy ślad. Idealny na romantyczne wieczory i specjalne okazje.",10,True,products/IMG-20260409-WA0375.jpg
Ganymed Extrait,Marc-Antoine Barrois,marc-antoine-barrois-ganymed-extrait-u-1,200,U,woody,parfum,"Top: nieśmiertelnik, kadzidło, mandarynka; Heart: mirra, safranina; Base: akigalawood, nuty mineralne",strong,special,"Ganymede Extrait to ciemniejsza, bardziej intensywna wersja kultowego zapachu, stworzona z myślą o głębi i kontraście. Otwiera się kładąc nacisk na ziołowo-miodowy nieśmiertelnik, wzbogacony kadzidłem i mirrą. W sercu pojawia się szafranowa safranina, a baza z akigalawoodu nadaje mu mineralny, skórzano-drzewny charakter. To wyjątkowy, unisexowy eliksir dla koneserów, idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0376.jpg
Miss Dior Absolutely Blooming,Dior,dior-miss-dior-absolutely-blooming-k,200,K,fresh,edp,"Top: malina, czarna porzeczka, granat, różowy pieprz; Heart: róża majowa, piwonia; Base: białe piżmo",light,special,"Miss Dior Absolutely Blooming to kwiatowo-owocowa kompozycja, która jest radosnym i figlarnym hołdem dla miłości. Otwiera się soczystą, cierpką eksplozją czerwonych owoców i różowego pieprzu. W sercu rozkwita zmysłowy duet róży majowej i piwonii, tworząc bujny, świeży bukiet. Baza z białego piżma nadaje zapachowi czystości i delikatności. Idealny na co dzień, dla kobiet pełnych życia i optymizmu.",10,True,products/IMG-20260409-WA0377.jpg
Acqua di Giò Profumo,Giorgio Armani,giorgio-armani-acqua-di-gio-profumo-m-1,200,M,fresh,edp,"Top: nuty morskie, bergamotka; Heart: rozmaryn, szałwia, geranium; Base: kadzidło, paczula",strong,daily,"Acqua di Giò Profumo to intensywna, morsko-aromatyczna interpretacja kultowej linii. Otwiera się świeżością bergamotki i morskiej bryzy, która przenosi nad wybrzeże. W sercu aromatyczny rozmaryn i szałwia przeplatają się z geranium, nadając zapachowi głębi i ziołowego charakteru. Baza z kadzidła i paczuli tworzy dymny, zmysłowy finisz. To elegancki, długotrwały zapach dla mężczyzn, idealny na co dzień, a także na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0378.jpg
Le Beau Le Parfum Intense,Jean Paul Gaultier,jean-paul-gaultier-le-beau-le-parfum-intense-m,200,M,woody,edp,"Top: ananas, irys, cyprys, imbir; Heart: kokos, nuty drzewne; Base: fasolka tonka, drzewo sandałowe, bursztyn, ambra",strong,special,"Le Beau Le Parfum Intense to zmysłowa, drzewno-ambrowa woda perfumowana dla mężczyzn, która jest kwintesencją nowoczesnej męskości. Otwiera się dynamicznym połączeniem ananasa, irysa i imbiru. W sercu wyczuwalny jest kremowy kokos, który nadaje mu egzotycznego charakteru. Ciepła, słodka baza z fasolki tonka, sandałowca i ambry tworzy głęboki, uwodzicielski ślad. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0379.jpg
Gentleman Society Ambrée,Givenchy,givenchy-gentleman-society-ambree-m-1,200,M,oriental,edp,"Top: gałka muszkatołowa, szałwia muszkatołowa, jagody jałowca; Heart: żonkil, irys, drzewo sandałowe, wetyweria z Madagaskaru i Haiti; Base: tytoń, wanilia z Madagaskaru, balsam peruwiański",strong,special,"Gentleman Society Ambrée to orientalno-drzewna kompozycja, która jest nowoczesnym dodatkiem do kolekcji Givenchy. Otwiera się pikantną mieszanką gałki muszkatołowej, szałwii i jagód jałowca. W sercu kwiat żonkila i irys przeplatają się z drzewnym sandałowcem i wetywerią. Głęboka, ciepła baza z tytoniu, wanilii i balsamu peruwiańskiego nadaje mu zmysłowego, eleganckiego charakteru. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0380.jpg
Code Pour Homme,Giorgio Armani,giorgio-armani-code-pour-homme-m,200,M,woody,edt,"Top: lawenda, cytryna, bergamotka; Heart: fasolka tonka; Base: wanilia, skóra, piżmo, cedr",light,daily,"Code Pour Homme to orientalno-drzewna woda toaletowa, która jest kwintesencją męskiej elegancji i tajemniczości. Otwiera się świeżością bergamotki, cytryny i lawendy. W sercu słodka fasolka tonka nadaje mu kuszący, głęboki charakter. Baza z wanilii, skóry i piżma tworzy długotrwały, zmysłowy finisz. Idealny na co dzień, dla pewnego siebie, nowoczesnego mężczyzny.",10,True,products/IMG-20260409-WA0381.jpg
My Way Nectar,Giorgio Armani,giorgio-armani-my-way-nectar-k,200,K,floral,edp,"Top: gruszka, bergamotka, kwiat pomarańczy; Heart: jaśmin, tuberoza; Base: wanilia bourbon, białe piżmo, cedr",strong,special,"My Way Nectar to kwiatowo-owocowa kompozycja, która jest intensywną i słodką interpretacją oryginalnego My Way. Otwiera się soczystą gruszką, bergamotką i kwiatem pomarańczy. W sercu wyczuwalne są odurzające nuty jaśminu i tuberozy. Ciepła, zmysłowa baza z wanilii bourbon, białego piżma i cedru tworzy długotrwały, uzależniający ślad. Idealny na wieczorne wyjścia i specjalne okazje, dla pewnych siebie, eleganckich kobiet.",10,True,products/IMG-20260409-WA0382.jpg
